"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY MICROCAP 250","22,057.20","22,075.55","21,771.25","22,232.90","21,907.40","-","-325.50","-1.46","38,35,55,877","8,426.71","26,476.90","8,567.20","0.58","2.03"
"GOKEX","781.60","859.15","760.00","781.05","845.20","-","64.15","8.21","43,88,280","362.90","1,060.00","531.00","41.35","-14.15"
"INGERRAND","3,660.00","3,849.90","3,606.40","3,539.70","3,733.00","-","193.30","5.46","1,87,183","69.48","4,477.80","3,055.00","16.65","17.64"
"ARVIND","360.00","395.65","354.60","366.15","382.95","-","16.80","4.59","21,78,374","83.11","404.00","274.80","26.95","15.45"
"TVSSCS","124.99","137.00","123.63","125.58","131.02","-","5.44","4.33","2,08,20,788","275.35","156.25","92.16","20.12","-6.28"
"JISLJALEQS","36.00","38.69","35.29","36.28","37.31","-","1.03","2.84","59,55,739","22.32","66.65","33.40","-3.14","-42.01"
"VIPIND","374.70","392.00","371.50","380.40","391.00","-","10.60","2.79","2,24,580","8.65","492.30","248.35","4.31","11.55"
"SOUTHBANK","39.89","41.18","39.70","40.15","41.10","-","0.95","2.37","1,37,58,973","56.03","46.84","22.30","1.56","64.86"
"BOSCH-HCIL","1,358.80","1,414.80","1,352.10","1,381.90","1,414.00","-","32.10","2.32","7,314","1.02","1,893.00","1,270.00","-1.37","-16.27"
"EMBDL","63.00","65.40","62.30","63.01","64.30","-","1.29","2.05","13,61,556","8.72","143.90","55.69","-10.64","-53.33"
"TIPSMUSIC","564.00","581.45","553.30","565.65","577.10","-","11.45","2.02","1,85,844","10.67","718.00","483.00","13.47","-15.01"
"PRICOLLTD","622.00","637.40","613.50","620.35","632.50","-","12.15","1.96","6,00,598","37.77","694.20","367.85","1.16","27.87"
"CMSINFO","310.00","328.85","302.45","314.70","319.90","-","5.20","1.65","13,37,779","42.49","541.15","302.45","-4.32","-26.72"
"SANOFICONR","4,221.70","4,389.00","4,171.80","4,221.50","4,290.00","-","68.50","1.62","23,192","9.95","5,894.50","3,990.00","1.36","-8.86"
