"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY TOTAL MARKET","13,154.65","13,162.05","13,062.35","13,268.15","13,078.15","-","-190.00","-1.43","2,61,10,37,324","1,03,136.77","13,842.60","7,145.35","-0.67","11.17"
"ENGINERSIN","199.10","210.00","197.15","180.90","199.32","-","18.42","10.18","13,40,19,973","2,747.95","255.45","142.20","2.81","20.79"
"GOKEX","781.60","859.15","760.00","781.05","845.20","-","64.15","8.21","43,88,280","362.90","1,060.00","531.00","41.35","-14.15"
"LINDEINDIA","6,419.00","6,967.00","6,394.00","6,440.50","6,880.00","-","439.50","6.82","4,04,286","275.96","7,870.00","5,242.40","13.10","20.85"
"SIGNATURE","981.90","1,052.60","981.90","982.90","1,041.00","-","58.10","5.91","17,15,847","177.08","1,309.50","775.20","9.86","-14.85"
"INGERRAND","3,660.00","3,849.90","3,606.40","3,539.70","3,733.00","-","193.30","5.46","1,87,183","69.48","4,477.80","3,055.00","16.65","17.64"
"ABFRL","70.00","75.10","68.32","70.04","73.30","-","3.26","4.65","1,94,43,779","142.52","295.70","59.80","-0.03","-71.69"
"ARVIND","360.00","395.65","354.60","366.15","382.95","-","16.80","4.59","21,78,374","83.11","404.00","274.80","26.95","15.45"
"VTL","482.00","525.00","475.00","483.75","505.00","-","21.25","4.39","41,74,502","212.40","539.90","361.10","21.53","15.31"
"TVSSCS","124.99","137.00","123.63","125.58","131.02","-","5.44","4.33","2,08,20,788","275.35","156.25","92.16","20.12","-6.28"
"HEXT","530.00","589.70","521.55","542.95","563.90","-","20.95","3.86","47,82,118","270.24","900.00","521.55","-23.24","-"
"KPRMILL","897.00","988.70","869.05","897.80","926.00","-","30.70","3.43","38,75,768","367.65","1,389.00","755.50","8.39","5.80"
"BAJFINANCE","995.00","1,032.00","992.80","999.10","1,030.00","-","30.90","3.09","2,16,13,987","2,195.18","1,102.50","802.50","8.54","22.49"
"GODREJAGRO","632.00","656.70","621.95","633.00","652.00","-","19.00","3.00","16,53,084","106.92","876.35","506.10","16.44","-11.55"
"SCHNEIDER","798.00","832.00","782.00","788.95","811.50","-","22.55","2.86","17,41,823","141.22","1,052.00","540.00","29.01","22.12"
"JISLJALEQS","36.00","38.69","35.29","36.28","37.31","-","1.03","2.84","59,55,739","22.32","66.65","33.40","-3.14","-42.01"
"VIPIND","374.70","392.00","371.50","380.40","391.00","-","10.60","2.79","2,24,580","8.65","492.30","248.35","4.31","11.55"
"KIRLOSENG","1,340.00","1,394.40","1,330.20","1,337.00","1,371.00","-","34.00","2.54","15,86,476","219.09","1,434.90","544.40","19.14","91.53"
"ZEEL","93.00","99.10","92.35","93.72","95.99","-","2.27","2.42","3,14,29,607","302.89","151.70","78.40","7.70","-3.95"
"SOUTHBANK","39.89","41.18","39.70","40.15","41.10","-","0.95","2.37","1,37,58,973","56.03","46.84","22.30","1.56","64.86"
"BOSCH-HCIL","1,358.80","1,414.80","1,352.10","1,381.90","1,414.00","-","32.10","2.32","7,314","1.02","1,893.00","1,270.00","-1.37","-16.27"
"EMBDL","63.00","65.40","62.30","63.01","64.30","-","1.29","2.05","13,61,556","8.72","143.90","55.69","-10.64","-53.33"
"TIPSMUSIC","564.00","581.45","553.30","565.65","577.10","-","11.45","2.02","1,85,844","10.67","718.00","483.00","13.47","-15.01"
"INOXINDIA","1,142.10","1,194.00","1,141.60","1,147.10","1,170.00","-","22.90","2.00","2,56,811","29.96","1,288.00","885.10","4.64","25.35"
"PRICOLLTD","622.00","637.40","613.50","620.35","632.50","-","12.15","1.96","6,00,598","37.77","694.20","367.85","1.16","27.87"
"EMCURE","1,468.00","1,495.00","1,442.80","1,458.10","1,485.00","-","26.90","1.84","2,08,084","30.71","1,585.60","889.00","-4.23","39.51"
"ZENSARTECH","571.35","607.45","558.30","576.85","587.00","-","10.15","1.76","23,10,507","135.81","901.50","535.85","-17.72","-32.10"
"THERMAX","2,829.50","2,895.00","2,749.80","2,831.60","2,880.00","-","48.40","1.71","3,02,282","84.97","4,091.80","2,742.70","-2.84","-9.36"
"PPLPHARMA","162.50","167.88","159.00","163.31","166.05","-","2.74","1.68","46,47,771","76.57","240.95","148.31","-1.37","-17.21"
"CMSINFO","310.00","328.85","302.45","314.70","319.90","-","5.20","1.65","13,37,779","42.49","541.15","302.45","-4.32","-26.72"
"SANOFICONR","4,221.70","4,389.00","4,171.80","4,221.50","4,290.00","-","68.50","1.62","23,192","9.95","5,894.50","3,990.00","1.36","-8.86"
"TRANSRAILL","555.00","567.85","543.30","545.40","554.00","-","8.60","1.58","10,40,196","57.87","855.80","394.55","14.17","-1.41"
"EICHERMOT","7,900.00","8,119.00","7,886.50","7,943.00","8,067.00","-","124.00","1.56","9,67,939","778.06","8,119.00","4,646.00","8.95","67.35"
"GODIGIT","317.00","325.15","312.65","320.05","325.00","-","4.95","1.55","7,68,160","24.52","381.40","264.60","-4.12","9.35"
"CIEINDIA","450.00","463.95","444.70","449.80","456.00","-","6.20","1.38","3,09,188","14.13","487.00","356.75","12.12","6.83"
"GMMPFAUDLR","982.00","1,015.50","965.05","985.30","998.35","-","13.05","1.32","78,108","7.79","1,418.00","943.55","-2.57","-13.72"
"IFCI","61.20","63.55","59.81","61.90","62.71","-","0.81","1.31","4,28,07,925","265.62","74.50","36.20","8.74","31.11"
"AJANTPHARM","2,885.00","2,942.50","2,851.10","2,890.00","2,927.90","-","37.90","1.31","1,71,375","50.00","3,020.80","2,327.30","7.23","17.32"
"GRWRHITECH","4,154.10","4,372.50","4,104.20","4,171.40","4,225.00","-","53.60","1.28","82,235","35.03","4,782.90","2,317.35","40.49","4.40"
"MFSL","1,821.30","1,848.50","1,817.30","1,813.50","1,835.00","-","21.50","1.19","15,88,459","291.28","1,848.50","950.00","11.48","69.93"
"TIMETECHNO","198.95","207.40","198.00","197.89","200.23","-","2.34","1.18","40,41,145","81.53","249.15","153.30","11.06","5.34"
"HAL","4,189.00","4,263.50","4,155.80","4,158.90","4,206.00","-","47.10","1.13","35,32,180","1,489.71","5,165.00","3,046.05","-5.53","14.91"
"CCAVENUE","18.38","19.40","17.85","18.59","18.80","-","0.21","1.13","2,50,03,866","46.73","23.64","14.75","22.24","-7.53"
"PATELENG","29.74","30.40","29.24","30.05","30.39","-","0.34","1.13","63,90,386","19.18","46.73","26.20","14.38","-33.78"
"BALRAMCHIN","459.00","470.45","454.50","460.45","465.45","-","5.00","1.09","4,33,218","20.11","627.80","393.55","9.41","6.49"
"CROMPTON","264.00","269.85","255.90","264.40","266.80","-","2.40","0.91","45,04,154","119.63","367.50","217.40","5.54","-22.05"
"SHILPAMED","320.80","336.25","316.00","323.15","326.05","-","2.90","0.90","4,63,824","15.25","500.00","259.50","10.56","-4.10"
"BLUESTARCO","1,960.00","2,015.00","1,952.30","1,974.00","1,991.00","-","17.00","0.86","6,18,695","123.37","2,269.80","1,521.00","11.03","-0.19"
"LLOYDSENGG","52.98","54.30","51.83","53.54","54.00","-","0.46","0.86","24,89,231","13.12","84.27","41.13","5.72","-13.74"
"SBILIFE","2,039.00","2,043.90","2,005.20","2,022.10","2,039.00","-","16.90","0.84","12,40,712","251.87","2,109.60","1,379.85","-2.08","38.66"
"FIRSTCRY","263.80","270.95","261.00","267.80","270.05","-","2.25","0.84","10,19,948","27.06","438.70","254.50","0.35","-34.15"
"BIOCON","374.00","381.90","368.30","375.05","378.10","-","3.05","0.81","53,87,172","203.48","424.95","291.00","0.21","5.23"
"COROMANDEL","2,255.00","2,300.00","2,241.00","2,270.20","2,288.00","-","17.80","0.78","3,23,878","73.61","2,718.90","1,596.00","-2.70","23.59"
"INDGN","468.00","486.60","460.50","470.75","474.30","-","3.55","0.75","13,50,088","64.73","632.90","455.60","-7.16","-21.16"
"TBOTEK","1,472.00","1,548.00","1,390.30","1,472.00","1,483.00","-","11.00","0.75","1,91,886","28.20","1,764.80","996.00","-3.48","-7.64"
"MINDACORP","582.50","604.90","582.00","592.10","595.60","-","4.10","0.69","4,67,092","27.94","619.95","445.05","3.58","12.44"
"NEULANDLAB","12,997.00","13,296.00","12,823.00","12,960.00","13,044.00","-","84.00","0.65","39,031","50.88","19,747.00","10,190.70","-8.95","2.17"
"IONEXCHANG","381.30","389.65","374.35","386.50","389.00","-","2.50","0.65","1,62,739","6.24","580.75","322.10","11.19","-26.78"
"WHIRLPOOL","888.00","906.25","867.80","888.35","894.00","-","5.65","0.64","5,64,057","50.56","1,473.80","756.85","10.42","-12.58"
"IDBI","109.00","112.75","107.77","110.11","110.80","-","0.69","0.63","2,00,65,290","221.76","118.38","66.50","6.91","49.29"
"JKTYRE","582.00","598.00","575.50","582.75","586.30","-","3.55","0.61","20,96,508","123.36","611.90","243.00","16.28","99.76"
"WOCKPHARMA","1,370.00","1,435.00","1,363.00","1,382.90","1,391.40","-","8.50","0.61","4,65,807","65.24","1,868.80","1,110.05","0.27","-3.14"
"ASTRAL","1,589.00","1,604.60","1,559.50","1,591.60","1,601.00","-","9.40","0.59","5,85,825","93.01","1,615.50","1,232.30","11.30","16.80"
"TORNTPOWER","1,451.00","1,468.30","1,428.00","1,453.70","1,462.20","-","8.50","0.58","6,21,000","90.50","1,640.00","1,188.00","8.59","16.45"
"MTARTECH","3,535.00","3,640.80","3,530.00","3,560.60","3,580.00","-","19.40","0.54","3,56,484","127.74","3,748.70","1,155.60","35.89","152.81"
"NAZARA","277.00","281.30","273.40","277.80","279.30","-","1.50","0.54","29,52,569","82.28","363.25","221.35","5.74","20.62"
"ENRIN","2,725.00","2,849.90","2,682.60","2,731.30","2,745.60","-","14.30","0.52","10,06,399","278.07","3,625.00","2,115.00","14.19","-"
"GPPL","175.13","179.80","175.01","176.02","176.90","-","0.88","0.50","10,08,457","17.92","200.09","122.50","-3.71","31.27"
"BHARATFORG","1,756.90","1,784.20","1,725.90","1,726.70","1,735.10","-","8.40","0.49","43,13,855","758.01","1,784.20","919.10","18.82","61.22"
